scenario,vol,p1,p2,path,seed,estimator,j,theta_hat,n1,n2
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,1,-88.0,2049,2049
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,2,58.0,2049,2049
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,3,0.0,2049,2049
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,4,-2.0,2049,2049
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,5,-2.0,2049,2049
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,6,-5.0,2049,2049
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,7,-10.0,2049,2049
constant_lm_high,constant,0.25,0.75,1,1558729212,previous_tick_interpolated,8,100.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,1,-17.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,2,1.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,3,2.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,4,2.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,5,2.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,6,3.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,7,6.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,HK_HY_non_sync,8,-33.0,1532,531
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,1,2.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,2,1.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,3,0.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,4,-1.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,5,-2.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,6,3.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,7,2.0,2049,2049
constant_lm_high,constant,0.25,0.75,2,1506253675,previous_tick_interpolated,8,-42.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,1,-93.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,2,1.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,3,1.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,4,1.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,5,0.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,6,-1.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,7,-10.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,HK_HY_non_sync,8,-6.0,1541,515
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,1,48.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,2,3.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,3,0.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,4,0.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,5,-1.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,6,-1.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,7,-9.0,2049,2049
constant_lm_high,constant,0.25,0.75,3,113298368,previous_tick_interpolated,8,-31.0,2049,2049
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,1,1.0,1534,514
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,2,1.0,1534,514
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,3,1.0,1534,514
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,4,1.0,1534,514
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,5,3.0,1534,514
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,6,0.0,1534,514
heston_lm_high,heston,0.25,0.75,1,219539716,HK_HY_non_sync,7,-69.0,1534,514
